Unnamed: 0,Course Title,Course Link,Description,Rating,Course Length,Learner Level
,"The Complete JavaScript Course 2024: From Zero to Expert!
The modern JavaScript course for everyone! Master JavaScript with projects, challenges and theory. Many courses in one!Rating: 4.7 out of 5204067 reviews68.5 total hours321 lecturesAll LevelsCurrent price: ₩99,000",https://www.udemy.com/course/the-complete-javascript-course/,"The modern JavaScript course for everyone! Master JavaScript with projects, challenges and theory. Many courses in one!",4.7,68.5 total hours,All Levels
,"JavaScript: Understanding the Weird Parts
An advanced JavaScript course for everyone! Scope, closures, prototypes, 'this', build your own framework, and more.Rating: 4.7 out of 547942 reviews12 total hours89 lecturesAll LevelsCurrent price: ₩77,000",https://www.udemy.com/course/understand-javascript/,"An advanced JavaScript course for everyone! Scope, closures, prototypes, 'this', build your own framework, and more.",4.7,12 total hours,All Levels
,"JavaScript Basics for Beginners
JavaScript - Master the Fundamentals in 6 HoursRating: 4.6 out of 534596 reviews6.5 total hours105 lecturesBeginnerCurrent price: ₩99,000",https://www.udemy.com/course/javascript-basics-for-beginners/,JavaScript - Master the Fundamentals in 6 Hours,4.6,6.5 total hours,Beginner
,"Modern JavaScript From The Beginning 2.0 (2024)
A 36-hour master course to take you from beginner to advanced JavaScriptRating: 4.7 out of 533396 reviews36.5 total hours265 lecturesAll LevelsCurrent price: ₩77,000",https://www.udemy.com/course/modern-javascript-from-the-beginning/,A 36-hour master course to take you from beginner to advanced JavaScript,4.7,36.5 total hours,All Levels
,"JavaScript - The Complete Guide 2024 (Beginner + Advanced)
Modern JavaScript from the beginning - all the way up to JS expert level! THE must-have JavaScript resource in 2024.Rating: 4.6 out of 529332 reviews52.5 total hours616 lecturesAll LevelsCurrent price: ₩110,000",https://www.udemy.com/course/javascript-the-complete-guide-2020-beginner-advanced/,Modern JavaScript from the beginning - all the way up to JS expert level! THE must-have JavaScript resource in 2024.,4.6,52.5 total hours,All Levels
,"Javascript for Beginners Learn by Doing Practical Exercises
JavaScript for Beginners : Work closely with me doing exercises & learn more. I make Javascript easy for you guaranteed.Rating: 4.5 out of 517232 reviews4 total hours31 lecturesAll LevelsCurrent price: ₩25,000",https://www.udemy.com/course/javascript-for-beginners-introduction-learn-fast-easy/,JavaScript for Beginners : Work closely with me doing exercises & learn more. I make Javascript easy for you guaranteed.,4.5,4 total hours,All Levels
,"ES6 Javascript: The Complete Developer's Guide
ES6 Javascript Development from scratch. Get practice with live examples and learn exactly where to apply ES6 features.Rating: 4.4 out of 513979 reviews6.5 total hours70 lecturesBeginnerCurrent price: ₩77,000",https://www.udemy.com/course/javascript-es6-tutorial/,ES6 Javascript Development from scratch. Get practice with live examples and learn exactly where to apply ES6 features.,4.4,6.5 total hours,Beginner
,"The Modern JavaScript Bootcamp
Learn JavaScript by building real-world apps. Includes 3 real-world projects, 80 programming challenges, and ES6/ES7!Rating: 4.6 out of 513024 reviews29.5 total hours155 lecturesAll LevelsCurrent price: ₩77,000",https://www.udemy.com/course/modern-javascript/,"Learn JavaScript by building real-world apps. Includes 3 real-world projects, 80 programming challenges, and ES6/ES7!",4.6,29.5 total hours,All Levels
,"The Modern Javascript Bootcamp Course
The most up-to-date JS resource online! Master Javascript by building a beautiful portfolio of projects!Rating: 4.7 out of 512308 reviews52 total hours483 lecturesAll LevelsCurrent price: ₩129,000",https://www.udemy.com/course/javascript-beginners-complete-tutorial/,The most up-to-date JS resource online! Master Javascript by building a beautiful portfolio of projects!,4.7,52 total hours,All Levels
,"50 Projects In 50 Days - HTML, CSS & JavaScript
Sharpen your skills by building 50+ quick, unique and fun mini projectsRating: 4.6 out of 511500 reviews19 total hours167 lecturesBeginnerCurrent price: ₩88,000",https://www.udemy.com/course/50-projects-50-days/,"Sharpen your skills by building 50+ quick, unique and fun mini projects",4.6,19 total hours,Beginner
,"Modern JavaScript (Complete guide, from Novice to Ninja)
Learn Modern JavaScript from the very start to ninja-level & build awesome JavaScript applications.Rating: 4.9 out of 510749 reviews20.5 total hours188 lecturesAll LevelsCurrent price: ₩77,000",https://www.udemy.com/course/modern-javascript-from-novice-to-ninja/,Learn Modern JavaScript from the very start to ninja-level & build awesome JavaScript applications.,4.9,20.5 total hours,All Levels
,"Advanced Javascript
In only seven hours you will learn enough javascript to transform from a Junior JS Dev into a Senior JS GuruRating: 4.6 out of 59407 reviews6.5 total hours47 lecturesIntermediateCurrent price: ₩59,000",https://www.udemy.com/course/javascript-advanced/,In only seven hours you will learn enough javascript to transform from a Junior JS Dev into a Senior JS Guru,4.6,6.5 total hours,Intermediate
,"20 Web Projects With Vanilla JavaScript
Build 20 mini frontend projects from scratch with HTML5, CSS & JavaScript (No frameworks or libraries)Rating: 4.7 out of 56924 reviews16 total hours121 lecturesAll LevelsCurrent price: ₩77,000",https://www.udemy.com/course/web-projects-with-vanilla-javascript/,"Build 20 mini frontend projects from scratch with HTML5, CSS & JavaScript (No frameworks or libraries)",4.7,16 total hours,All Levels
,"Accelerated JavaScript Training
Take a deep dive into JavaScript, a Must-Know Language in Web Development, with a Hands-on, Example-driven ApproachRating: 4.5 out of 56469 reviews7.5 total hours128 lecturesAll LevelsCurrent price: ₩66,000",https://www.udemy.com/course/javascript-bootcamp-2016/,"Take a deep dive into JavaScript, a Must-Know Language in Web Development, with a Hands-on, Example-driven Approach",4.5,7.5 total hours,All Levels
,"Accelerated ES6 JavaScript Training
Learn and Use the Future of JavaScript - Today!Rating: 4.6 out of 55796 reviews6 total hours115 lecturesIntermediateCurrent price: ₩77,000",https://www.udemy.com/course/es6-bootcamp-next-generation-javascript/,Learn and Use the Future of JavaScript - Today!,4.6,6 total hours,Intermediate
,"JavaScript Beginner Bootcamp (2024)
JavaScript for Beginners: Projects based learning, whiteboard animations, coding in the browser and quizzes.Rating: 4.6 out of 55746 reviews38.5 total hours387 lecturesBeginnerCurrent price: ₩28,000",https://www.udemy.com/course/javascript-the-basics-for-beginners/,"JavaScript for Beginners: Projects based learning, whiteboard animations, coding in the browser and quizzes.",4.6,38.5 total hours,Beginner
,"Learn JavaScript: Full-Stack from Scratch
Understand the JavaScript language itself, Node.js, MongoDB, The Web Browser and More To Create Meaningful ApplicationsRating: 4.7 out of 55121 reviews28 total hours131 lecturesAll LevelsCurrent price: ₩99,000",https://www.udemy.com/course/learn-javascript-full-stack-from-scratch/,"Understand the JavaScript language itself, Node.js, MongoDB, The Web Browser and More To Create Meaningful Applications",4.7,28 total hours,All Levels
,"Complete JAVASCRIPT with HTML5,CSS3 from zero to Expert-2024
Learn HTML5, CSS3, JavaScript by building a modern looking responsive website.Rating: 4.3 out of 54909 reviews17 total hours64 lecturesAll LevelsCurrent price: ₩59,000",https://www.udemy.com/course/build-responsive-website-using-html5-css3-js-and-bootstrap-p/,"Learn HTML5, CSS3, JavaScript by building a modern looking responsive website.",4.3,17 total hours,All Levels
