,URL from a Topic on Udemy,Max Courses,Max Related Topics,Position,Course Title,Course Link,Description,Price,Instructor,Rating,Course Length,Number of Lectures,Learner Level
,https://www.udemy.com/topic/javascript/,120,5,1,"The Complete JavaScript Course 2024: From Zero to Expert!
The modern JavaScript course for everyone! Master JavaScript with projects, challenges and theory. Many courses in one!Rating: 4.7 out of 5204067 reviews68.5 total hours321 lecturesAll LevelsCurrent price: ₩99,000",https://www.udemy.com/course/the-complete-javascript-course/,"The modern JavaScript course for everyone! Master JavaScript with projects, challenges and theory. Many courses in one!","₩99,000",Jonas Schmedtmann,4.7,68.5 total hours,321 lectures,All Levels
,https://www.udemy.com/topic/javascript/,120,5,2,"JavaScript: Understanding the Weird Parts
An advanced JavaScript course for everyone! Scope, closures, prototypes, 'this', build your own framework, and more.Rating: 4.7 out of 547942 reviews12 total hours89 lecturesAll LevelsCurrent price: ₩77,000",https://www.udemy.com/course/understand-javascript/,"An advanced JavaScript course for everyone! Scope, closures, prototypes, 'this', build your own framework, and more.","₩77,000",Anthony Alicea,4.7,12 total hours,89 lectures,All Levels
,https://www.udemy.com/topic/javascript/,120,5,3,"JavaScript Basics for Beginners
JavaScript - Master the Fundamentals in 6 HoursRating: 4.6 out of 534596 reviews6.5 total hours105 lecturesBeginnerCurrent price: ₩99,000",https://www.udemy.com/course/javascript-basics-for-beginners/,JavaScript - Master the Fundamentals in 6 Hours,"₩99,000",Mosh Hamedani,4.6,6.5 total hours,105 lectures,Beginner
,https://www.udemy.com/topic/javascript/,120,5,4,"Modern JavaScript From The Beginning 2.0 (2024)
A 36-hour master course to take you from beginner to advanced JavaScriptRating: 4.7 out of 533396 reviews36.5 total hours265 lecturesAll LevelsCurrent price: ₩77,000",https://www.udemy.com/course/modern-javascript-from-the-beginning/,A 36-hour master course to take you from beginner to advanced JavaScript,"₩77,000",Brad Traversy,4.7,36.5 total hours,265 lectures,All Levels
,https://www.udemy.com/topic/javascript/,120,5,5,"JavaScript - The Complete Guide 2024 (Beginner + Advanced)
Modern JavaScript from the beginning - all the way up to JS expert level! THE must-have JavaScript resource in 2024.Rating: 4.6 out of 529332 reviews52.5 total hours616 lecturesAll LevelsCurrent price: ₩110,000",https://www.udemy.com/course/javascript-the-complete-guide-2020-beginner-advanced/,Modern JavaScript from the beginning - all the way up to JS expert level! THE must-have JavaScript resource in 2024.,"₩110,000","Academind by Maximilian Schwarzmüller, Maximilian Schwarzmüller",4.6,52.5 total hours,616 lectures,All Levels
,https://www.udemy.com/topic/javascript/,120,5,6,"Javascript for Beginners Learn by Doing Practical Exercises
JavaScript for Beginners : Work closely with me doing exercises & learn more. I make Javascript easy for you guaranteed.Rating: 4.5 out of 517232 reviews4 total hours31 lecturesAll LevelsCurrent price: ₩25,000",https://www.udemy.com/course/javascript-for-beginners-introduction-learn-fast-easy/,JavaScript for Beginners : Work closely with me doing exercises & learn more. I make Javascript easy for you guaranteed.,"₩25,000","Edwin Diaz, Coding Faculty Solutions",4.5,4 total hours,31 lectures,All Levels
,https://www.udemy.com/topic/javascript/,120,5,7,"ES6 Javascript: The Complete Developer's Guide
ES6 Javascript Development from scratch. Get practice with live examples and learn exactly where to apply ES6 features.Rating: 4.4 out of 513979 reviews6.5 total hours70 lecturesBeginnerCurrent price: ₩77,000",https://www.udemy.com/course/javascript-es6-tutorial/,ES6 Javascript Development from scratch. Get practice with live examples and learn exactly where to apply ES6 features.,"₩77,000",Stephen Grider,4.4,6.5 total hours,70 lectures,Beginner
,https://www.udemy.com/topic/javascript/,120,5,8,"The Modern JavaScript Bootcamp
Learn JavaScript by building real-world apps. Includes 3 real-world projects, 80 programming challenges, and ES6/ES7!Rating: 4.6 out of 513024 reviews29.5 total hours155 lecturesAll LevelsCurrent price: ₩77,000",https://www.udemy.com/course/modern-javascript/,"Learn JavaScript by building real-world apps. Includes 3 real-world projects, 80 programming challenges, and ES6/ES7!","₩77,000",Andrew Mead,4.6,29.5 total hours,155 lectures,All Levels
,https://www.udemy.com/topic/javascript/,120,5,9,"The Modern Javascript Bootcamp Course
The most up-to-date JS resource online! Master Javascript by building a beautiful portfolio of projects!Rating: 4.7 out of 512308 reviews52 total hours483 lecturesAll LevelsCurrent price: ₩129,000",https://www.udemy.com/course/javascript-beginners-complete-tutorial/,The most up-to-date JS resource online! Master Javascript by building a beautiful portfolio of projects!,"₩129,000","Colt Steele, Stephen Grider",4.7,52 total hours,483 lectures,All Levels
,https://www.udemy.com/topic/javascript/,120,5,10,"50 Projects In 50 Days - HTML, CSS & JavaScript
Sharpen your skills by building 50+ quick, unique and fun mini projectsRating: 4.6 out of 511500 reviews19 total hours167 lecturesBeginnerCurrent price: ₩88,000",https://www.udemy.com/course/50-projects-50-days/,"Sharpen your skills by building 50+ quick, unique and fun mini projects","₩88,000","Brad Traversy, Florin Pop",4.6,19 total hours,167 lectures,Beginner
